"C:\DIANA\Section B\VolatilityWorkbench\vol.exe" -f "D:\SectionB\RAM Capture\RAM CAPTURE 3.raw" windows.ldrmodules.LdrModules 
Volatility 3 Framework 2.5.0
Pid	Process	Base	InLoad	InInit	InMem	MappedPath
788	lsass.exe	0x73b50000	True	True	True	\Windows\System32\ntmarta.dll
788	lsass.exe	0x73bf0000	True	True	True	\Windows\System32\scecli.dll
788	lsass.exe	0x73c30000	True	True	True	\Windows\System32\kdcpw.dll
788	lsass.exe	0x73ca0000	True	True	True	\Windows\System32\schannel.dll
788	lsass.exe	0x73c50000	True	True	True	\Windows\System32\dpapisrv.dll
788	lsass.exe	0x73c80000	True	True	True	\Windows\System32\efslsaext.dll
788	lsass.exe	0x73d50000	True	True	True	\Windows\System32\rsaenh.dll
788	lsass.exe	0x73d10000	True	True	True	\Windows\System32\wdigest.dll
788	lsass.exe	0x73d80000	True	True	True	\Windows\System32\dpapi.dll
788	lsass.exe	0x73d90000	True	True	True	\Windows\System32\MicrosoftAccountCloudAP.dll
788	lsass.exe	0x742c0000	True	True	True	\Windows\System32\wldp.dll
788	lsass.exe	0x73f70000	True	True	True	\Windows\System32\gmsaclient.dll
788	lsass.exe	0x73ea0000	True	True	True	\Windows\System32\IPHLPAPI.DLL
788	lsass.exe	0x73e30000	True	True	True	\Windows\System32\pku2u.dll
788	lsass.exe	0x73e70000	True	True	True	\Windows\System32\TSpkg.dll
788	lsass.exe	0x73ed0000	True	True	True	\Windows\System32\netutils.dll
788	lsass.exe	0x73ee0000	True	True	True	\Windows\System32\dnsapi.dll
788	lsass.exe	0x74160000	True	True	True	\Windows\System32\kerberos.dll
788	lsass.exe	0x74040000	True	True	True	\Windows\System32\msv1_0.dll
788	lsass.exe	0x73f80000	True	True	True	\Windows\System32\netlogon.dll
788	lsass.exe	0x74030000	True	True	True	\Windows\System32\NtlmShared.dll
788	lsass.exe	0x74110000	True	True	True	\Windows\System32\cryptdll.dll
788	lsass.exe	0x740b0000	True	True	True	\Windows\System32\mswsock.dll
788	lsass.exe	0x74130000	True	True	True	\Windows\System32\KerbClientShared.dll
788	lsass.exe	0x74250000	True	True	True	\Windows\System32\cryptbase.dll
788	lsass.exe	0x74230000	True	True	True	\Windows\System32\cryptsp.dll
788	lsass.exe	0x74280000	True	True	True	\Windows\System32\joinutil.dll
788	lsass.exe	0x74260000	True	True	True	\Windows\System32\negoexts.dll
788	lsass.exe	0x742a0000	True	True	True	\Windows\System32\netprovfw.dll
788	lsass.exe	0x747c0000	True	True	True	\Windows\System32\KernelBase.dll
788	lsass.exe	0x74330000	True	True	True	\Windows\System32\bcrypt.dll
788	lsass.exe	0x742e0000	True	True	True	\Windows\System32\ntasn1.dll
788	lsass.exe	0x74310000	True	True	True	\Windows\System32\ncrypt.dll
788	lsass.exe	0x74660000	True	True	True	\Windows\System32\sspicli.dll
788	lsass.exe	0x74420000	True	True	True	\Windows\System32\lsasrv.dll
788	lsass.exe	0x74350000	True	True	True	\Windows\System32\samsrv.dll
788	lsass.exe	0x74630000	True	True	True	\Windows\System32\userenv.dll
788	lsass.exe	0x74730000	True	True	True	\Windows\System32\powrprof.dll
788	lsass.exe	0x747a0000	True	True	True	\Windows\System32\profapi.dll
